Date,Price,Open,High,Low,Vol.,Change %
Jun 14 2021,2581.48,2508.49,2606.91,2467.61,1.79M,2.92%
Jun 13 2021,2508.27,2368.68,2547.90,2311.96,1.62M,5.90%
Jun 12 2021,2368.47,2351.45,2448.04,2260.80,1.80M,0.72%
Jun 11 2021,2351.45,2470.04,2493.48,2324.21,587.18K,-4.80%
Jun 10 2021,2469.97,2607.45,2615.46,2432.41,1.29M,-5.23%
Jun 09 2021,2606.23,2507.86,2620.74,2408.37,2.32M,3.81%
Jun 08 2021,2510.65,2592.12,2618.70,2320.64,75.18K,-3.16%
Jun 07 2021,2592.63,2713.52,2842.88,2581.24,3.01M,-4.46%
Jun 06 2021,2713.66,2628.43,2743.53,2614.48,756.36K,3.22%
Jun 05 2021,2628.98,2688.75,2814.02,2555.98,2.55M,-2.14%
Jun 04 2021,2686.50,2856.63,2856.63,2557.71,2.47M,-5.85%
Jun 03 2021,2853.35,2705.05,2889.19,2666.39,1.09M,5.44%
Jun 02 2021,2706.10,2633.74,2801.00,2554.88,2.60M,2.75%
Jun 01 2021,2633.67,2707.94,2738.23,2529.73,2.45M,-2.76%
May 31 2021,2708.47,2386.93,2713.98,2279.42,2.83M,13.51%
May 30 2021,2386.10,2276.97,2465.84,2181.93,2.80M,4.83%
May 29 2021,2276.07,2411.68,2567.42,2207.21,2.94M,-5.73%
May 28 2021,2414.29,2742.39,2760.17,2332.43,3.26M,-11.75%
May 27 2021,2735.88,2885.02,2885.87,2638.62,2.39M,-5.16%
May 26 2021,2884.66,2705.69,2908.37,2648.10,2.66M,6.64%
May 25 2021,2705.09,2647.27,2747.49,2388.81,3.28M,2.20%
May 24 2021,2646.79,2101.30,2667.20,2080.87,3.24M,25.96%
May 23 2021,2101.34,2292.68,2379.89,1739.91,3.52M,-8.30%
May 22 2021,2291.60,2433.09,2481.06,2162.84,2.82M,-5.82%
May 21 2021,2433.11,2766.88,2931.66,2111.42,4.23M,-12.40%
May 20 2021,2777.55,2436.59,2988.52,2163.40,4.33M,14.04%
May 19 2021,2435.69,3376.22,3434.01,1922.25,6.42M,-27.89%
May 18 2021,3377.55,3280.50,3558.57,3244.93,2.30M,2.98%
May 17 2021,3279.68,3582.19,3582.27,3130.12,2.85M,-8.44%
May 16 2021,3582.12,3643.67,3877.20,3351.92,2.28M,-1.63%
May 15 2021,3641.65,4074.57,4129.99,3639.12,1.94M,-10.64%
May 14 2021,4075.38,3719.46,4171.76,3694.54,2.06M,9.56%
May 13 2021,3719.62,3807.50,4031.99,3539.96,3.21M,-2.42%
May 12 2021,3811.77,4173.61,4366.10,3794.15,2.78M,-8.54%
May 11 2021,4167.78,3948.66,4177.53,3781.86,1.27M,5.57%
May 10 2021,3947.90,3923.48,4203.98,3669.84,2.70M,0.65%
May 09 2021,3922.23,3905.69,3979.77,3734.44,1.94M,0.43%
May 08 2021,3905.55,3479.81,3952.88,3453.37,1.34M,12.19%
May 07 2021,3481.22,3490.83,3583.34,3363.56,1.35M,-0.24%
May 06 2021,3489.52,3522.74,3601.59,3380.60,1.51M,-0.94%
May 05 2021,3522.76,3284.31,3540.78,3228.86,1.87M,7.18%
May 04 2021,3286.71,3429.48,3516.34,3188.90,2.74M,-4.16%
May 03 2021,3429.37,2950.07,3451.44,2950.07,2.32M,16.24%
May 02 2021,2950.33,2945.04,2984.52,2854.12,1.30M,0.19%
May 01 2021,2944.66,2772.27,2951.74,2753.60,1.51M,6.20%
Apr 30 2021,2772.78,2757.02,2797.61,2726.03,1.52M,0.56%
Apr 29 2021,2757.36,2746.51,2797.52,2670.35,1.65M,0.39%
Apr 28 2021,2746.54,2665.83,2759.03,2562.74,1.74M,3.05%
Apr 27 2021,2665.24,2531.07,2677.95,2484.44,1.45M,5.22%
Apr 26 2021,2533.12,2320.63,2539.80,2305.97,1.79M,9.35%
Apr 25 2021,2316.48,2217.23,2355.20,2169.91,1.02M,4.54%
Apr 24 2021,2215.93,2367.35,2367.46,2159.60,1.61M,-6.39%
Apr 23 2021,2367.31,2398.95,2440.21,2119.26,3.46M,-1.41%
Apr 22 2021,2401.10,2360.32,2642.99,2313.46,3.17M,1.71%
Apr 21 2021,2360.81,2331.84,2467.51,2238.15,2.10M,1.23%
Apr 20 2021,2332.14,2161.06,2345.18,2058.00,1.86M,7.94%
Apr 19 2021,2160.63,2236.10,2275.87,2081.30,1.90M,-3.42%
Apr 18 2021,2237.17,2317.88,2338.53,1948.93,2.76M,-3.50%
Apr 17 2021,2318.33,2424.12,2493.93,2314.12,1.73M,-4.33%
Apr 16 2021,2423.18,2514.55,2544.54,2302.30,2.08M,-3.62%
Apr 15 2021,2514.22,2432.90,2541.90,2402.75,1.91M,3.40%
Apr 14 2021,2431.56,2299.25,2445.40,2281.49,2.11M,5.72%
Apr 13 2021,2299.93,2137.55,2315.47,2136.49,2.38M,7.58%
Apr 12 2021,2137.81,2150.79,2199.52,2103.73,2.16M,-0.63%
Apr 11 2021,2151.42,2133.89,2164.76,2114.55,1.97M,0.83%
Apr 10 2021,2133.79,2067.26,2197.73,2058.23,2.09M,3.23%
Apr 09 2021,2066.93,2080.20,2101.07,2050.39,2.47M,-0.62%
Apr 08 2021,2079.92,1962.44,2084.08,1951.83,1.73M,6.04%
Apr 07 2021,1961.46,2112.41,2128.25,1939.64,2.30M,-7.11%
Apr 06 2021,2111.53,2108.81,2150.78,2047.48,1.93M,0.24%
Apr 05 2021,2106.41,2076.14,2127.89,2004.05,2.31M,1.47%
Apr 04 2021,2075.94,2007.82,2091.31,1982.00,1.59M,3.35%
Apr 03 2021,2008.59,2134.66,2137.68,2004.40,2.01M,-5.90%
Apr 02 2021,2134.55,1968.12,2144.11,1949.99,2.47M,8.47%
Apr 01 2021,1967.96,1918.82,1983.84,1897.38,2.08M,2.61%
Mar 31 2021,1917.99,1841.01,1945.40,1774.66,2.59M,4.18%
Mar 30 2021,1841.01,1816.92,1857.65,1788.60,3.03M,1.34%
Mar 29 2021,1816.69,1686.88,1839.41,1678.38,1.94M,7.70%
Mar 28 2021,1686.80,1712.89,1724.74,1661.92,1.31M,-1.53%
Mar 27 2021,1713.01,1698.68,1731.73,1667.12,1.40M,0.85%
Mar 26 2021,1698.60,1586.36,1699.27,1586.28,1.64M,7.06%
Mar 25 2021,1586.54,1582.23,1621.32,1550.11,1.54M,0.26%
Mar 24 2021,1582.38,1668.42,1739.82,1546.48,1.88M,-5.13%
Mar 23 2021,1667.90,1681.50,1720.01,1654.14,1.46M,-0.86%
Mar 22 2021,1682.37,1783.58,1806.62,1659.28,1.58M,-5.68%
Mar 21 2021,1783.72,1804.60,1815.85,1748.47,1.43M,-1.16%
Mar 20 2021,1804.60,1809.09,1868.09,1801.60,27.03K,-0.28%
Mar 19 2021,1809.64,1775.87,1848.88,1735.42,1.20M,1.89%
Mar 18 2021,1776.08,1823.72,1849.23,1760.83,1.53M,-2.59%
Mar 17 2021,1823.35,1804.56,1837.88,1743.62,1.50M,1.03%
Mar 16 2021,1804.85,1792.08,1817.35,1715.97,1.81M,0.70%
Mar 15 2021,1792.38,1848.18,1890.59,1745.04,1.70M,-3.07%
Mar 14 2021,1849.06,1921.29,1932.36,1836.78,671.56K,-3.75%
Mar 13 2021,1921.13,1767.05,1943.36,1730.46,1.79M,8.73%
Mar 12 2021,1766.90,1827.44,1841.19,1723.18,1.52M,-3.23%
Mar 11 2021,1825.79,1794.28,1845.32,1729.05,1.58M,1.76%
Mar 10 2021,1794.14,1869.32,1875.98,1759.50,1.66M,-4.01%
Mar 09 2021,1869.10,1831.57,1869.10,1801.29,1.58M,2.05%
Mar 08 2021,1831.49,1727.17,1841.05,1665.54,1.97M,5.98%
Mar 07 2021,1728.10,1650.94,1732.84,1634.73,1.69M,4.78%
Mar 06 2021,1649.19,1530.24,1670.01,1514.62,2.07M,7.77%
Mar 05 2021,1530.29,1539.73,1548.71,1443.32,1.67M,-0.54%
Mar 04 2021,1538.61,1567.84,1623.73,1506.86,1.70M,-2.06%
Mar 03 2021,1571.05,1488.80,1653.04,1477.72,1.17M,5.54%
Mar 02 2021,1488.62,1570.00,1602.13,1457.22,1.74M,-5.18%
Mar 01 2021,1570.03,1418.91,1571.15,1411.55,1.92M,10.66%
Feb 28 2021,1418.76,1458.84,1467.76,1294.79,2.07M,-2.75%
Feb 27 2021,1458.93,1445.69,1527.69,1427.15,1.56M,0.93%
Feb 26 2021,1445.44,1476.77,1561.66,1403.30,2.13M,-2.08%
Feb 25 2021,1476.15,1623.76,1669.24,1460.92,1.75M,-9.09%
Feb 24 2021,1623.71,1578.27,1711.16,1505.79,2.19M,2.89%
Feb 23 2021,1578.11,1777.25,1781.44,1370.45,3.60M,-11.21%
Feb 22 2021,1777.28,1933.52,1935.04,1561.68,2.68M,-8.08%
Feb 21 2021,1933.45,1912.97,1974.99,1885.70,1.47M,1.02%
Feb 20 2021,1913.88,1955.54,2040.79,1800.00,2.29M,-2.13%
Feb 19 2021,1955.59,1934.17,1968.93,1892.70,1.78M,1.11%
Feb 18 2021,1934.16,1849.95,1950.04,1849.05,881.87K,4.66%
Feb 17 2021,1847.95,1781.44,1854.03,1734.15,1.69M,3.72%
Feb 16 2021,1781.69,1778.63,1827.07,1726.78,1.48M,0.16%
Feb 15 2021,1778.82,1800.60,1835.51,1661.09,1.94M,-1.27%
Feb 14 2021,1801.78,1815.44,1850.00,1787.11,1.43M,-0.76%
Feb 13 2021,1815.49,1840.90,1871.36,1766.05,1.44M,-1.39%
Feb 12 2021,1841.02,1786.74,1862.17,1741.04,1.75M,3.06%
Feb 11 2021,1786.35,1742.11,1817.68,1704.97,1.56M,2.54%
Feb 10 2021,1742.09,1770.81,1835.40,1683.52,2.01M,-1.61%
Feb 09 2021,1770.63,1750.19,1818.94,1711.40,1.94M,1.17%
Feb 08 2021,1750.18,1612.98,1775.12,1566.43,2.17M,8.50%
Feb 07 2021,1612.99,1676.62,1692.29,1491.68,1.94M,-3.80%
Feb 06 2021,1676.63,1719.11,1742.90,1648.03,1.78M,-2.48%
Feb 05 2021,1719.20,1593.91,1760.09,1589.28,1.80M,7.85%
Feb 04 2021,1594.00,1664.19,1693.64,1570.45,2.34M,-4.23%
Feb 03 2021,1664.34,1511.96,1667.93,1510.27,2.27M,10.12%
Feb 02 2021,1511.36,1373.31,1546.88,1361.63,2.73M,10.04%
Feb 01 2021,1373.40,1312.69,1376.44,1272.09,1.65M,4.62%
Jan 31 2021,1312.73,1377.05,1380.04,1282.41,1.54M,-4.67%
Jan 30 2021,1376.96,1379.78,1405.78,1327.66,1.59M,-0.17%
Jan 29 2021,1379.30,1329.16,1436.27,1288.26,3.33M,3.83%
Jan 28 2021,1328.47,1247.67,1359.51,1221.15,814.31K,6.48%
Jan 27 2021,1247.62,1366.14,1372.31,1210.40,2.90M,-8.68%
Jan 26 2021,1366.27,1317.67,1377.94,1246.45,2.56M,3.67%
Jan 25 2021,1317.90,1390.69,1474.68,1298.13,2.77M,-5.21%
Jan 24 2021,1390.28,1233.41,1398.00,1222.14,2.30M,12.72%
Jan 23 2021,1233.40,1234.34,1271.65,1196.94,1.46M,-0.10%
Jan 22 2021,1234.58,1118.01,1272.85,1045.02,2.94M,10.49%
Jan 21 2021,1117.33,1377.63,1387.39,1095.26,2.76M,-18.89%
Jan 20 2021,1377.53,1372.00,1406.56,1237.27,3.05M,0.40%
Jan 19 2021,1372.00,1258.10,1437.42,1252.36,2.27M,9.06%
Jan 18 2021,1258.06,1233.93,1260.30,1184.15,1.73M,2.06%
Jan 17 2021,1232.64,1228.33,1269.01,1168.39,2.15M,0.36%
Jan 16 2021,1228.27,1172.12,1290.92,1154.04,2.29M,4.83%
Jan 15 2021,1171.68,1233.34,1256.13,1079.19,2.85M,-4.44%
Jan 14 2021,1226.17,1128.80,1246.52,1088.52,1.55M,8.66%
Jan 13 2021,1128.46,1050.20,1134.66,990.96,2.25M,7.45%
Jan 12 2021,1050.19,1086.96,1149.19,1008.28,3.09M,-3.78%
Jan 11 2021,1091.47,1255.84,1257.30,917.96,4.19M,-13.10%
Jan 10 2021,1256.04,1275.87,1347.98,1180.45,2.65M,-1.53%
Jan 09 2021,1275.58,1215.92,1301.75,1172.39,1.99M,4.92%
Jan 08 2021,1215.73,1224.33,1271.08,1069.25,2.71M,-0.70%
Jan 07 2021,1224.35,1208.71,1286.81,1153.09,2.71M,1.37%
Jan 06 2021,1207.77,1099.77,1210.78,1060.67,3.75M,9.85%
Jan 05 2021,1099.52,1042.48,1131.56,976.91,3.25M,5.48%
Jan 04 2021,1042.40,977.76,1158.27,894.24,5.19M,6.92%
Jan 03 2021,974.97,774.54,1008.49,769.57,4.02M,25.88%
Jan 02 2021,774.50,729.00,787.26,715.15,2.25M,6.22%
Jan 01 2021,729.12,735.87,748.96,715.74,1.64M,-0.93%
Dec 31 2020,735.94,751.92,755.13,724.67,1.04M,-2.11%
Dec 30 2020,751.80,732.04,757.11,720.21,1.86M,2.74%
Dec 29 2020,731.76,730.26,739.77,690.24,1.82M,0.23%
Dec 28 2020,730.05,683.76,747.86,682.47,2.75M,6.78%
Dec 27 2020,683.71,636.35,715.46,627.12,2.31M,7.40%
Dec 26 2020,636.58,626.99,652.36,616.04,1.94M,1.54%
Dec 25 2020,626.93,612.38,633.90,605.01,1.70M,2.38%
Dec 24 2020,612.34,585.47,614.92,566.15,1.72M,4.55%
Dec 23 2020,585.69,637.04,638.11,554.09,2.20M,-8.12%
Dec 22 2020,637.47,607.86,637.47,588.24,2.12M,4.87%
Dec 21 2020,607.85,638.28,647.87,599.97,1.88M,-4.77%
Dec 20 2020,638.26,657.79,661.04,622.39,2.11M,-3.02%
Dec 19 2020,658.17,654.08,669.54,645.91,2.17M,0.66%
Dec 18 2020,653.85,643.28,664.26,630.44,2.63M,1.66%
Dec 17 2020,643.17,637.29,675.68,627.36,3.67M,0.91%
Dec 16 2020,637.38,588.81,638.18,580.90,3.11M,8.23%
Dec 15 2020,588.91,586.22,596.97,579.95,1.74M,0.46%
Dec 14 2020,586.19,590.66,591.41,576.01,1.78M,-0.83%
Dec 13 2020,591.09,568.07,594.83,563.37,2.03M,4.10%
Dec 12 2020,567.78,544.16,573.59,543.90,1.62M,4.34%
Dec 11 2020,544.17,558.15,560.28,536.43,30.17M,-2.50%
Dec 10 2020,558.13,573.28,575.56,548.99,19.60M,-2.63%
Dec 09 2020,573.21,554.95,577.94,530.88,9.10M,3.27%
Dec 08 2020,555.05,591.03,594.78,551.08,8.11M,-6.10%
Dec 07 2020,591.09,601.54,603.06,584.53,7.72M,-1.76%
Dec 06 2020,601.68,596.61,606.90,583.67,13.14M,0.84%
Dec 05 2020,596.68,567.84,596.73,561.24,30.83M,5.07%
Dec 04 2020,567.91,616.33,619.61,566.34,48.95M,-7.85%
Dec 03 2020,616.32,597.94,622.10,587.15,24.00M,3.06%
Dec 02 2020,598.05,585.69,604.34,575.24,16.21M,2.12%
Dec 01 2020,585.66,616.78,635.66,567.79,49.42M,-4.91%
Nov 30 2020,615.92,575.35,615.97,571.04,51.72M,7.03%
Nov 29 2020,575.45,537.89,576.52,530.71,5.79M,7.01%
Nov 28 2020,537.74,518.70,547.94,506.97,5.34M,3.79%
Nov 27 2020,518.11,519.69,530.41,494.65,6.42M,-0.23%
Nov 26 2020,519.32,569.69,577.08,484.03,13.11M,-8.84%
Nov 25 2020,569.67,605.01,605.63,555.32,14.50M,-5.84%
Nov 24 2020,605.03,609.20,621.70,589.56,41.11M,-0.69%
Nov 23 2020,609.22,559.37,610.33,551.80,49.68M,8.91%
Nov 22 2020,559.40,551.90,580.00,514.44,36.76M,1.36%
Nov 21 2020,551.91,509.94,552.13,505.14,26.86M,8.22%
Nov 20 2020,509.98,471.27,513.06,471.06,30.85M,8.23%
Nov 19 2020,471.21,478.55,480.55,465.41,12.53M,-1.53%
Nov 18 2020,478.52,482.05,495.04,459.92,18.19M,-0.71%
Nov 17 2020,481.95,460.37,484.59,459.74,7.93M,4.67%
Nov 16 2020,460.43,448.18,465.97,445.82,5.62M,2.72%
Nov 15 2020,448.23,460.75,462.93,440.44,9.34M,-2.71%
Nov 14 2020,460.70,476.38,477.34,452.60,9.17M,-3.27%
Nov 13 2020,476.29,462.61,477.78,457.65,9.85M,2.97%
Nov 12 2020,462.56,463.33,469.57,452.44,9.33M,-0.17%
Nov 11 2020,463.33,450.26,476.08,449.51,15.13M,2.91%
Nov 10 2020,450.22,444.38,454.43,439.50,20.76M,1.33%
Nov 09 2020,444.33,454.55,458.51,434.95,28.85M,-2.28%
Nov 08 2020,454.68,435.39,460.09,432.44,4.82M,4.43%
Nov 07 2020,435.40,455.78,467.88,425.57,7.78M,-4.46%
Nov 06 2020,455.72,416.59,457.79,415.08,6.53M,9.38%
Nov 05 2020,416.63,402.50,419.94,396.46,7.04M,3.59%
Nov 04 2020,402.19,388.23,407.90,377.22,6.17M,3.68%
Nov 03 2020,387.92,383.64,389.98,370.96,6.73M,1.14%
Nov 02 2020,383.53,396.45,404.04,379.13,9.43M,-3.22%
Nov 01 2020,396.29,386.36,397.32,384.94,5.52M,2.55%
Oct 31 2020,386.42,382.81,394.01,380.53,6.42M,1.05%
Oct 30 2020,382.41,387.16,391.98,374.36,2.81M,-1.13%
Oct 29 2020,386.76,388.25,393.33,381.53,3.04M,-0.35%
Oct 28 2020,388.14,403.11,408.10,381.51,9.96M,-3.72%
Oct 27 2020,403.15,393.93,409.85,390.92,6.29M,2.29%
Oct 26 2020,394.11,406.45,410.41,383.21,9.06M,-2.95%
Oct 25 2020,406.09,412.44,417.07,403.95,3.05M,-1.42%
Oct 24 2020,411.92,408.59,416.28,407.74,2.68M,0.83%
Oct 23 2020,408.52,414.12,419.11,402.91,8.18M,-1.33%
Oct 22 2020,414.05,391.39,420.12,391.21,12.65M,5.84%
Oct 21 2020,391.20,368.53,400.36,368.06,13.61M,6.20%
Oct 20 2020,368.35,379.03,380.14,367.16,7.46M,-2.86%
Oct 19 2020,379.19,377.85,383.97,372.72,6.85M,0.37%
Oct 18 2020,377.81,368.61,378.49,367.54,4.68M,2.49%
Oct 17 2020,368.63,365.08,369.94,363.18,4.98M,0.95%
Oct 16 2020,365.17,377.60,379.60,362.65,7.59M,-3.25%
Oct 15 2020,377.45,378.96,380.77,370.39,7.93M,-0.45%
Oct 14 2020,379.15,381.13,387.11,373.62,8.08M,-0.55%
Oct 13 2020,381.23,386.64,387.06,374.57,7.92M,-1.41%
Oct 12 2020,386.68,374.39,394.58,366.05,10.39M,3.34%
Oct 11 2020,374.19,370.28,377.27,369.23,5.22M,1.09%
Oct 10 2020,370.16,365.25,377.97,364.57,7.17M,1.34%
Oct 09 2020,365.28,350.71,368.19,347.82,7.85M,4.12%
Oct 08 2020,350.83,341.66,352.95,334.79,6.85M,2.74%
Oct 07 2020,341.48,340.59,342.68,334.11,5.77M,0.26%
Oct 06 2020,340.61,353.53,354.90,337.21,7.32M,-3.59%
Oct 05 2020,353.28,352.69,354.86,348.76,4.96M,0.16%
Oct 04 2020,352.73,345.60,353.97,344.03,4.77M,2.06%
Oct 03 2020,345.60,345.78,351.04,343.74,4.48M,-0.02%
Oct 02 2020,345.68,353.06,353.61,335.91,7.27M,-2.09%
Oct 01 2020,353.07,359.50,369.10,345.66,7.93M,-1.76%
Sep 30 2020,359.39,359.77,360.94,352.81,5.43M,-0.13%
Sep 29 2020,359.86,353.97,360.66,351.48,6.26M,1.63%
Sep 28 2020,354.08,357.42,367.63,352.57,7.77M,-0.88%
Sep 27 2020,357.23,354.26,362.00,347.51,6.35M,0.84%
Sep 26 2020,354.25,351.62,355.87,346.95,6.48M,0.75%
Sep 25 2020,351.63,349.13,357.80,338.01,8.47M,0.70%
Sep 24 2020,349.17,319.97,352.60,317.27,9.40M,9.13%
Sep 23 2020,319.95,343.96,344.12,315.54,13.88M,-7.00%
Sep 22 2020,344.03,341.32,346.19,336.15,9.29M,0.80%
Sep 21 2020,341.30,371.09,375.34,331.41,11.41M,-8.03%
Sep 20 2020,371.12,385.33,385.39,365.48,7.30M,-3.67%
Sep 19 2020,385.25,384.25,386.99,377.63,6.74M,0.27%
Sep 18 2020,384.20,389.37,392.21,375.81,8.95M,-1.23%
Sep 17 2020,388.97,364.75,393.96,363.54,12.85M,6.60%
Sep 16 2020,364.88,363.91,372.88,355.18,9.06M,0.24%
Sep 15 2020,364.01,376.70,381.67,362.40,9.06M,-3.37%
Sep 14 2020,376.70,365.89,383.99,357.54,10.34M,3.01%
Sep 13 2020,365.71,388.06,389.51,353.85,10.38M,-5.74%
Sep 12 2020,387.98,373.74,388.12,366.05,11.49M,3.82%
Sep 11 2020,373.72,367.89,374.41,356.38,12.53M,1.58%
Sep 10 2020,367.92,351.10,376.92,350.86,16.50M,4.79%
Sep 09 2020,351.10,337.46,358.33,331.12,14.07M,4.04%
Sep 08 2020,337.46,352.06,355.69,326.66,18.98M,-4.15%
Sep 07 2020,352.06,353.49,357.33,325.47,21.69M,-0.40%
Sep 06 2020,353.49,334.91,358.09,316.69,20.13M,5.55%
Sep 05 2020,334.91,385.94,394.12,314.13,35.32M,-13.22%
Sep 04 2020,385.94,381.97,399.58,368.22,25.20M,1.04%
Sep 03 2020,381.97,439.14,466.40,376.99,33.59M,-13.01%
Sep 02 2020,439.08,475.72,480.96,423.26,30.14M,-7.72%
Sep 01 2020,475.80,433.89,488.24,429.65,10.42M,9.65%
Aug 31 2020,433.90,428.81,438.71,418.35,7.89M,1.18%
Aug 30 2020,428.86,398.80,429.59,398.47,6.67M,7.54%
Aug 29 2020,398.80,395.32,405.53,391.97,5.23M,0.93%
Aug 28 2020,395.11,383.16,397.64,379.80,6.16M,3.13%
Aug 27 2020,383.11,385.96,396.48,372.53,7.03M,-0.74%
Aug 26 2020,385.96,383.16,392.61,377.63,6.69M,0.72%
Aug 25 2020,383.20,407.64,409.02,370.40,8.28M,-6.01%
Aug 24 2020,407.70,390.81,410.17,387.62,6.69M,4.40%
Aug 23 2020,390.50,395.56,396.96,383.42,5.36M,-1.28%
Aug 22 2020,395.56,388.06,396.87,379.96,6.73M,1.95%
Aug 21 2020,387.99,416.05,418.72,385.21,7.62M,-6.75%
Aug 20 2020,416.05,407.39,418.92,402.80,6.23M,2.11%
Aug 19 2020,407.44,422.10,426.65,394.51,8.44M,-3.49%
Aug 18 2020,422.16,430.63,433.65,415.45,8.18M,-1.95%
Aug 17 2020,430.56,433.62,444.86,420.71,7.83M,-0.71%
Aug 16 2020,433.63,432.22,436.58,413.22,7.02M,0.34%
Aug 15 2020,432.18,438.04,442.70,428.75,7.27M,-1.34%
Aug 14 2020,438.03,424.28,443.74,418.37,8.67M,3.23%
Aug 13 2020,424.31,387.15,430.33,377.57,12.04M,9.61%
Aug 12 2020,387.12,379.03,389.21,367.05,8.59M,2.14%
Aug 11 2020,379.01,395.52,398.13,367.38,9.44M,-4.18%
Aug 10 2020,395.53,390.22,399.05,386.45,8.01M,1.36%
Aug 09 2020,390.23,396.78,399.93,384.31,4.97M,-1.65%
Aug 08 2020,396.76,379.57,396.77,376.38,4.94M,4.53%
Aug 07 2020,379.57,394.80,398.14,366.44,8.34M,-3.86%
Aug 06 2020,394.83,400.80,403.18,391.67,7.92M,-1.49%
Aug 05 2020,400.79,389.62,406.92,384.84,8.74M,2.87%
Aug 04 2020,389.62,385.86,402.01,381.30,9.84M,0.99%
Aug 03 2020,385.80,372.26,397.73,368.46,9.92M,3.69%
Aug 02 2020,372.08,387.15,415.08,335.76,16.38M,-3.89%
Aug 01 2020,387.14,346.48,392.37,343.33,11.03M,11.73%
Jul 31 2020,346.51,334.84,349.34,329.02,8.69M,3.48%
Jul 30 2020,334.87,317.79,341.11,314.83,9.07M,5.36%
Jul 29 2020,317.82,316.95,324.93,312.64,8.72M,0.27%
Jul 28 2020,316.96,321.82,326.53,306.40,9.91M,-1.50%
Jul 27 2020,321.80,311.12,332.57,311.04,13.73M,3.43%
Jul 26 2020,311.13,305.32,318.54,300.33,9.19M,1.90%
Jul 25 2020,305.32,279.33,308.57,279.33,8.59M,9.30%
Jul 24 2020,279.33,275.33,287.01,268.54,7.17M,1.45%
Jul 23 2020,275.34,263.29,279.53,260.70,8.79M,4.58%
Jul 22 2020,263.28,245.54,266.42,241.89,6.68M,7.23%
Jul 21 2020,245.53,236.10,246.49,235.67,6.29M,3.99%
Jul 20 2020,236.10,239.03,239.71,234.51,5.36M,-1.22%
Jul 19 2020,239.01,235.72,239.70,233.35,6.61M,1.38%
Jul 18 2020,235.75,232.77,236.83,232.40,5.79M,1.29%
Jul 17 2020,232.75,233.65,234.53,231.84,5.88M,-0.39%
Jul 16 2020,233.65,238.62,239.47,230.44,6.63M,-2.08%
Jul 15 2020,238.62,240.49,241.36,237.04,7.35M,-0.78%
Jul 14 2020,240.50,239.75,242.08,237.21,7.07M,0.32%
Jul 13 2020,239.73,242.84,245.04,237.71,8.32M,-1.24%
Jul 12 2020,242.75,239.20,243.79,236.91,6.81M,1.48%
Jul 11 2020,239.20,241.21,241.64,237.76,6.42M,-0.85%
Jul 10 2020,241.26,242.01,242.17,236.19,6.84M,-0.32%
Jul 09 2020,242.02,246.93,247.63,238.28,9.02M,-2.01%
Jul 08 2020,246.99,239.26,248.76,238.00,12.98M,3.24%
Jul 07 2020,239.25,241.56,243.43,234.92,6.26M,-0.95%
Jul 06 2020,241.56,227.95,241.64,227.10,9.45M,5.96%
Jul 05 2020,227.98,229.09,229.80,223.79,5.41M,-0.51%
Jul 04 2020,229.15,225.09,230.40,224.80,5.45M,1.79%
Jul 03 2020,225.12,226.42,228.14,224.77,5.20M,-0.57%
Jul 02 2020,226.42,230.96,232.04,223.53,7.28M,-1.96%
Jul 01 2020,230.95,225.61,232.47,224.33,6.31M,2.36%
Jun 30 2020,225.63,227.88,228.57,223.23,5.60M,-0.99%
Jun 29 2020,227.87,225.09,229.83,221.60,6.80M,1.24%
Jun 28 2020,225.09,221.07,227.74,218.46,5.91M,1.82%
Jun 27 2020,221.06,229.72,231.30,217.11,7.21M,-3.75%
Jun 26 2020,229.67,232.57,233.50,228.16,6.96M,-1.24%
Jun 25 2020,232.56,234.75,235.29,227.99,6.48M,-0.93%
Jun 24 2020,234.75,243.20,249.23,231.56,9.13M,-3.47%
Jun 23 2020,243.20,243.24,244.77,240.94,5.16M,-0.02%
Jun 22 2020,243.25,228.11,246.39,227.69,7.93M,6.63%
Jun 21 2020,228.13,228.87,231.18,227.38,4.10M,-0.32%
Jun 20 2020,228.86,229.11,230.96,226.28,4.54M,-0.11%
Jun 19 2020,229.11,231.34,231.94,226.97,5.56M,-0.97%
Jun 18 2020,231.34,233.85,234.69,228.13,4.96M,-1.09%
Jun 17 2020,233.88,235.37,236.55,228.63,5.94M,-0.63%
Jun 16 2020,235.36,230.92,235.95,228.99,7.03M,1.92%
Jun 15 2020,230.93,231.99,233.34,219.06,10.18M,-0.47%
Jun 14 2020,232.02,238.23,238.48,230.52,5.78M,-2.60%
Jun 13 2020,238.22,237.55,238.61,234.86,5.27M,0.29%
Jun 12 2020,237.54,230.72,239.23,228.62,7.34M,2.96%
Jun 11 2020,230.71,247.79,249.77,227.01,12.40M,-6.89%
Jun 10 2020,247.78,243.82,249.51,242.54,7.63M,1.62%
Jun 09 2020,243.82,246.19,249.45,240.18,6.86M,-0.96%
Jun 08 2020,246.18,244.56,247.11,241.30,6.55M,0.66%
Jun 07 2020,244.56,242.00,244.94,235.44,8.10M,1.06%
Jun 06 2020,242.00,240.27,244.43,238.38,6.62M,0.73%
Jun 05 2020,240.23,243.37,247.50,239.70,7.75M,-1.29%
Jun 04 2020,243.37,244.53,246.41,236.68,8.75M,-0.47%
Jun 03 2020,244.52,237.90,244.76,233.84,8.15M,2.77%
